date,location,location_name,hosps,cases,pop100k,hosp_rate,case_rate
2020-10-01,US,US,3892,46246,3328.75137,1.1692071793274246,13.892897023426535
2020-10-02,US,US,4232,53445,3328.75137,1.2713475803991934,16.055569809649075
2020-10-03,US,US,3656,49280,3328.75137,1.0983097244658437,14.804349896519907
2020-10-04,US,US,4584,33131,3328.75137,1.377092936802907,9.952981258555216
2020-10-05,US,US,5380,37359,3328.75137,1.6162216404885776,11.223127187177095
2020-10-06,US,US,4812,44546,3328.75137,1.4455870881098578,13.38219501806769
2020-10-07,US,US,4829,49138,3328.75137,1.4506941081634463,14.761691258425227
2020-10-08,US,US,4757,57891,3328.75137,1.4290643761717776,17.391205760134618
2020-10-09,US,US,4770,55081,3328.75137,1.4329697444480511,16.547045386570883
2020-10-10,US,US,4537,55367,3328.75137,1.3629735284194566,16.632963488648898
2020-10-11,US,US,4660,46900,3328.75137,1.3999243205718905,14.089367089017525
2020-10-12,US,US,5431,42084,3328.75137,1.6315427006493428,12.642578349130353
2020-10-13,US,US,5358,50124,3328.75137,1.6096125557133454,15.057898421533357
2020-10-14,US,US,5274,58442,3328.75137,1.584377868389732,17.55673329245975
2020-10-15,US,US,5573,63538,3328.75137,1.6742013387440229,19.087637656758968
2020-10-16,US,US,5537,70175,3328.75137,1.6633864727481884,21.081478368268762
2020-10-17,US,US,5164,54832,3328.75137,1.5513324445135714,16.472242563433028
2020-10-18,US,US,5221,52173,3328.75137,1.5684559823403093,15.67344454446293
2020-10-19,US,US,6207,67884,3328.75137,1.8646631454484388,20.393232312811637
2020-10-20,US,US,6003,61738,3328.75137,1.8033789048053774,18.54689435696725
2020-10-21,US,US,6154,60706,3328.75137,1.848741259399016,18.236868198419998
2020-10-22,US,US,6130,79621,3328.75137,1.8415313487351266,23.91917904039796
2020-10-23,US,US,6270,81662,3328.75137,1.883589160941149,24.532321859772903
2020-10-24,US,US,5421,78376,3328.75137,1.6285385712060556,23.54516492470869
2020-10-25,US,US,5545,60975,3328.75137,1.6657897763028184,18.317679280444427
2020-10-26,US,US,6625,64564,3328.75137,1.9902357561778488,19.395861337640245
2020-10-27,US,US,7022,77224,3328.75137,2.109499695076355,23.19908921284199
2020-10-28,US,US,7167,86476,3328.75137,2.1530595720040213,25.978509773771417
2020-10-29,US,US,7431,91293,3328.75137,2.2323685893068066,27.42559892660292
2020-10-30,US,US,6901,99849,3328.75137,2.0731497288125786,29.99593207827955
2020-10-31,US,US,6344,87344,3328.75137,1.9058197188214752,26.23926820944876
2020-11-01,US,US,6835,77830,3328.75137,2.0533224744868823,23.381139457105203
2020-11-02,US,US,7914,81807,3328.75137,2.3774680414175844,24.57588173670057
2020-11-03,US,US,8090,124767,3328.75137,2.430340719619441,37.481621825062895
2020-11-04,US,US,8473,100263,3328.75137,2.5453988772973455,30.120303037231647
2020-11-05,US,US,8806,128081,3328.75137,2.645436387758813,38.47719032256831
2020-11-06,US,US,8985,127058,3328.75137,2.699210304793656,38.169867880520016
